name,versions,path,url,rows,bytes,sha256
2400 — אור יהודה,5,data/raw/over_fd06f5ae/files/v1/6b9b70af_2400.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/6b9b70af_2400.csv,16046,2110752,badae35dce2004f6388da9ccf7abd1702f12be9f72a5c96305834d47b3dadb30
7700 — עפולה,5,data/raw/over_fd06f5ae/files/v1/78a0b1ce_7700.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/78a0b1ce_7700.csv,38913,4878650,cdda643dfee8f265b3c98e67a6e7ab515f61674f02831d852ba4375ffde43d0e
9100 — נהרייה,5,data/raw/over_fd06f5ae/files/v1/7d75ea35_9100.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/7d75ea35_9100.csv,35170,4513082,8f772e4260dcb82c2eacb671d43304dbc52c39c5182b3a3f92a4716523814cda
246 — נתיבות,5,data/raw/over_fd06f5ae/files/v1/7e60fd75_246.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/7e60fd75_246.csv,24510,3120527,6f5a90f0f5e1c8c96609938223e69724c70bb1952d1ee321df6784a79a44f139
7600 — עכו,5,data/raw/over_fd06f5ae/files/v1/80d62f02_7600.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/80d62f02_7600.csv,22843,2792762,11dc9b2007d20b75f14674ae9f0e98723bf766801ebbab238d316dd615950a7e
2560 — ערד,5,data/raw/over_fd06f5ae/files/v1/836fa072_2560.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/836fa072_2560.csv,15414,1864468,f7116bbfc6e566b09cfe6ec67ad6bbd2264369aa406b2fa5d292a6c1f0e78117
2630 — קריית גת,5,data/raw/over_fd06f5ae/files/v1/8e980794_2630.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/8e980794_2630.csv,32721,4281532,08a0e379369a1cd925ea128acf799febf6308bae8047601d4b01a8ff6ef3d885
8600 — רמת גן,"4,3,2,1",data/raw/over_fd06f5ae/files/v1/90c0fb89_8600.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/90c0fb89_8600.csv,84697,10664381,9e270f03f493f6db0b13635aab81500d1ace9c73f8746520ae767b5560ce1c0d
6200 — בת ים,5,data/raw/over_fd06f5ae/files/v1/9f5b4d7c_6200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/9f5b4d7c_6200.csv,63403,7936101,9071d83d12495666ec65fce60392f93426d9b844e9b093997bd93837c7a9da51
0 — יתר היישובים,5,data/raw/over_fd06f5ae/files/v1/a60d26a4_0.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/a60d26a4_0.csv,674340,82471262,056fad72f76534c4809e8ffb45fc4c0be5f3760d7d7e4311881de3471c8a1ded
2610 — בית שמש,5,data/raw/over_fd06f5ae/files/v1/a8e19c23_2610.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/a8e19c23_2610.csv,49684,6423898,df76373b3eace11ad06a78672e89e0312e07dec27f558e00e07b635ee95ad73c
1031 — שדרות,5,data/raw/over_fd06f5ae/files/v1/b1ec0bba_1031.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/b1ec0bba_1031.csv,15384,1922939,7cf1e8ee50775b8e6be31c4f42509a936c731d3be5ef189d180e1f5dfbfefe12
6800 — קריית אתא,5,data/raw/over_fd06f5ae/files/v1/b451e4ea_6800.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/b451e4ea_6800.csv,30993,4112978,9aa91f1a26917bc8137fdb2275a7442f75f5b26dffa4f22f4c7d36a42978ac81
70 — אשדוד,5,data/raw/over_fd06f5ae/files/v1/b61722ef_70.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/b61722ef_70.csv,95742,11707558,7496c14d6870c2ebcba9293c0e2c8df9e5a824a9922b8b2cc97a688e4a8597f7
7200 — נס ציונה,5,data/raw/over_fd06f5ae/files/v1/c4940422_7200.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/c4940422_7200.csv,20635,2630780,42715657069f1ae9f87b8eb2e06c40be7017e57a050ae4d9e41b3980babc09e5
7900 — פתח תקווה,5,data/raw/over_fd06f5ae/files/v1/c6e8276f_7900.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/c6e8276f_7900.csv,124367,16477027,2f18780a9dd703b42a7c505878dd642c3e5b9fa905893ec7199847e309f1a9f4
1139 — כרמיאל,5,data/raw/over_fd06f5ae/files/v1/c849d498_1139.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/c849d498_1139.csv,23369,2989539,009d238b72ad5fd0c3d4829a901d565ea85df21931c7f345b435defbca94dd6c
2650 — רמת השרון,5,data/raw/over_fd06f5ae/files/v1/c85da3c3_2650.csv,https://pub-63c02556dabd4956af9500eb8fe7198c.r2.dev/datasets/fd06f5ae-8a4f-4120-b275-8a514ad23499/v1/c85da3c3_2650.csv,23378,3050580,fb8c08283ff6a3d1cca402402d5f5eb3c7f88eb2a53370b503d48f57013e0bef
