match_definition,city,_property_key,rows,unique_sale_dates,first_date,last_date
parcel_unit_like,אשדוד,אשדוד|2061-127|64.0||9.0|דירה בבית קומות|2007.0,2,2,2014-06-22,2020-12-24
parcel_unit_like,אשדוד,אשדוד|2061-127|68.0||1.0|דירה בבית קומות|2007.0,2,2,2018-05-30,2019-09-16
parcel_unit_like,אשדוד,אשדוד|2061-127|70.0||11.0|דירה בבית קומות|2007.0,2,2,2016-05-17,2018-05-03
parcel_unit_like,אשדוד,אשדוד|2061-127|70.0||9.0|דירה בבית קומות|2007.0,2,2,2006-11-30,2017-10-13
parcel_unit_like,אשדוד,אשדוד|2061-127|71.0||7.0|דירה בבית קומות|2007.0,2,2,2020-11-30,2024-02-13
parcel_unit_like,אשדוד,אשדוד|2061-127|75.0||8.0|דירה בבית קומות|2007.0,2,2,2011-05-16,2012-04-18
parcel_unit_like,אשדוד,אשדוד|2061-127|80.0||7.0|דירה בבית קומות|2007.0,3,3,2008-09-24,2010-11-18
parcel_unit_like,אשדוד,אשדוד|2061-127|96.0||4.0|דירה בבית קומות|2007.0,2,2,2017-01-04,2017-09-24
parcel_unit_like,אשדוד,אשדוד|2061-127|96.0||6.0|דירה בבית קומות|2007.0,4,4,2015-03-02,2021-11-25
parcel_unit_like,אשדוד,אשדוד|2061-132|74.7||3.0|דירה בבית קומות|1970.0,4,2,2017-12-06,2022-01-06
parcel_unit_like,אשדוד,אשדוד|2061-132|78.8||4.0|דירה בבית קומות|1970.0,4,2,2014-01-30,2015-02-25
parcel_unit_like,אשדוד,אשדוד|2061-136|92.15||3.0|דירה בבית קומות|1970.0,2,2,2006-04-05,2015-06-28
parcel_unit_like,אשדוד,אשדוד|2061-136|92.15||7.0|דירה בבית קומות|1970.0,2,2,2009-02-05,2013-12-26
parcel_unit_like,אשדוד,אשדוד|2061-138|98.8||5.0|דירה בבית קומות|1970.0,2,2,2014-12-22,2023-05-11
parcel_unit_like,אשדוד,אשדוד|2061-138|99.2||1.0|דירה בבית קומות|1970.0,2,2,2004-11-17,2007-04-06
parcel_unit_like,אשדוד,אשדוד|2061-139|33.4||6.0|דירה בבית קומות|1995.0,2,2,2017-12-10,2022-08-09
parcel_unit_like,אשדוד,אשדוד|2061-139|33.5||10.0|דירה בבית קומות|1995.0,2,2,2016-11-23,2023-05-11
parcel_unit_like,אשדוד,אשדוד|2061-139|33.8||9.0|דירה בבית קומות|1995.0,2,2,2016-08-09,2021-09-13
parcel_unit_like,אשדוד,אשדוד|2061-139|34.5||12.0|דירה בבית קומות|1995.0,2,2,2007-05-07,2018-07-15
parcel_unit_like,אשדוד,אשדוד|2061-139|35.6||4.0|דירה בבית קומות|1995.0,2,2,2009-06-18,2015-11-25
parcel_unit_like,אשדוד,אשדוד|2061-139|35.7||7.0|דירה בבית קומות|1995.0,2,2,2015-10-26,2023-07-19
parcel_unit_like,אשדוד,אשדוד|2061-139|36.0||3.0|דירה בבית קומות|1995.0,4,4,2014-10-07,2020-05-12
parcel_unit_like,אשדוד,אשדוד|2061-139|36.0||4.0|דירה בבית קומות|1995.0,2,2,2019-03-12,2022-10-11
parcel_unit_like,אשדוד,אשדוד|2061-139|36.3||1.0|דירה בבית קומות|1995.0,2,2,2009-01-15,2019-08-28
parcel_unit_like,אשדוד,אשדוד|2061-139|36.5||3.0|דירה בבית קומות|1995.0,2,2,2013-12-29,2015-09-02
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||3.0|דירת נופש|2010.0,4,4,2010-08-03,2016-10-25
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||4.0|דירת נופש|2010.0,2,2,2011-01-04,2013-01-08
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||5.0|דירת נופש|2010.0,4,4,2010-06-23,2019-07-10
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||6.0|דירה|2010.0,3,3,2010-03-15,2011-09-25
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||6.0|דירת נופש|2010.0,4,4,2009-12-27,2011-09-20
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||7.0|דירת נופש|2010.0,5,5,2010-03-10,2015-07-04
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||8.0|דירה בבית קומות|2010.0,2,2,2010-03-07,2013-11-27
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||8.0|דירת נופש|2010.0,2,2,2011-12-06,2013-11-26
parcel_unit_like,אשדוד,אשדוד|2061-141|40.0||9.0|דירת נופש|2010.0,6,6,2010-02-06,2017-06-20
parcel_unit_like,אשדוד,אשדוד|2061-141|42.0||9.0|דירת נופש|2010.0,2,2,2022-12-27,2023-06-28
parcel_unit_like,אשדוד,אשדוד|2061-141|46.0||2.0|דירת נופש|2010.0,2,2,2012-03-27,2013-01-01
parcel_unit_like,אשדוד,אשדוד|2061-141|47.0||7.0|דירת נופש|2010.0,2,2,2010-05-25,2013-01-01
parcel_unit_like,אשדוד,אשדוד|2061-141|50.0||7.0|דירה בבית קומות|2010.0,2,2,2010-02-07,2010-02-22
parcel_unit_like,אשדוד,אשדוד|2061-141|50.0||7.0|דירת נופש|2010.0,3,3,2010-05-26,2014-06-15
parcel_unit_like,אשדוד,אשדוד|2061-141|55.0||7.0|דירת נופש|2010.0,2,2,2012-05-16,2015-06-24
parcel_unit_like,אשדוד,אשדוד|2061-141|55.0||8.0|דירת נופש|2010.0,4,4,2013-12-10,2014-03-26
parcel_unit_like,אשדוד,אשדוד|2061-141|55.0||9.0|דירת נופש|2010.0,6,6,2010-05-30,2014-03-27
parcel_unit_like,אשדוד,אשדוד|2061-16|74.4||7.0|דירה בבית קומות|1992.0,2,2,2010-11-10,2019-09-09
parcel_unit_like,אשדוד,אשדוד|2061-30|100.0||3.0|דירה בבית קומות|1997.0,6,2,2006-04-11,2013-07-28
parcel_unit_like,אשדוד,אשדוד|2061-30|48.0||7.0|דירה בבית קומות|1997.0,6,2,2014-03-30,2014-12-28
parcel_unit_like,אשדוד,אשדוד|2061-30|50.0||2.0|דירה בבית קומות|1997.0,12,4,2001-09-02,2013-02-25
parcel_unit_like,אשדוד,אשדוד|2061-30|50.0||4.0|דירה בבית קומות|1997.0,9,3,2004-10-06,2015-12-17
parcel_unit_like,אשדוד,אשדוד|2061-30|50.0||6.0|דירה בבית קומות|1997.0,15,5,2008-03-05,2013-09-03
parcel_unit_like,אשדוד,אשדוד|2061-30|55.0||5.0|דירה בבית קומות|1997.0,6,2,2008-11-09,2021-10-13
parcel_unit_like,אשדוד,אשדוד|2061-30|60.0||4.0|דירה בבית קומות|1997.0,6,2,2004-06-06,2012-01-12
parcel_unit_like,אשדוד,אשדוד|2061-30|60.0||5.0|דירה בבית קומות|1997.0,6,2,2010-08-26,2019-11-03
parcel_unit_like,אשדוד,אשדוד|2061-30|60.0||6.0|דירה בבית קומות|1997.0,9,3,2010-08-31,2013-04-11
parcel_unit_like,אשדוד,אשדוד|2061-30|65.0||1.0|דירה בבית קומות|1997.0,6,2,2008-08-24,2020-05-03
parcel_unit_like,אשדוד,אשדוד|2061-30|65.0||6.0|דירה בבית קומות|1997.0,6,2,2017-06-14,2020-03-08
parcel_unit_like,אשדוד,אשדוד|2061-30|67.0||4.0|דירה בבית קומות|1997.0,6,2,2008-06-25,2009-09-16
parcel_unit_like,אשדוד,אשדוד|2061-30|70.0||1.0|דירה בבית קומות|1997.0,6,2,2008-03-19,2018-08-22
parcel_unit_like,אשדוד,אשדוד|2061-30|70.0||4.0|דירה בבית קומות|1997.0,12,4,2007-05-31,2015-11-10
parcel_unit_like,אשדוד,אשדוד|2061-30|70.0||5.0|דירה בבית קומות|1997.0,6,2,2007-11-04,2008-07-06
parcel_unit_like,אשדוד,אשדוד|2061-30|75.0||6.0|לא צויין סוג|1997.0,6,2,1999-05-02,2003-12-21
parcel_unit_like,אשדוד,אשדוד|2061-30|80.0|||דירה בבית קומות|1997.0,6,2,2002-07-14,2002-08-26
parcel_unit_like,אשדוד,אשדוד|2061-30|90.0||5.0|דירה בבית קומות|1997.0,6,2,2011-09-08,2021-11-24
parcel_unit_like,אשדוד,אשדוד|2061-76|72.1||1.0|דירה בבית קומות|2020.0,2,2,2010-03-15,2022-02-15
parcel_unit_like,אשדוד,אשדוד|2061-76|72.1||4.0|דירה בבית קומות|2020.0,2,2,2010-08-03,2023-05-17
parcel_unit_like,אשדוד,אשדוד|2061-76|90.8||1.0|דירה|2020.0,2,2,2020-12-31,2021-01-06
parcel_unit_like,אשדוד,אשדוד|2061-77|65.9||1.0|דירה בבית קומות|1970.0,6,2,2011-07-06,2018-05-27
parcel_unit_like,אשדוד,אשדוד|2061-77|65.9||1.0|דירה בבית קומות|2023.0,6,2,2023-03-15,2023-09-14
parcel_unit_like,אשדוד,אשדוד|2061-77|78.7||1.0|דירה בבית קומות|2023.0,6,2,2023-08-21,2024-03-06
parcel_unit_like,אשדוד,אשדוד|2061-77|78.7||3.0|דירה בבית קומות|1970.0,6,2,2005-11-03,2021-02-07
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||1.0|דירה בבית קומות|1960.0,2,2,2013-09-24,2018-04-12
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||1.0|דירה בבית קומות|1970.0,2,2,2021-01-07,2021-10-24
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||2.0|דירה בבית קומות|1960.0,2,2,2018-12-05,2023-04-03
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||2.0|דירה בבית קומות|1970.0,2,2,2005-02-27,2015-06-08
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||3.0|דירה בבית קומות|1960.0,2,2,2008-05-25,2022-02-09
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||4.0|דירה בבית קומות|1960.0,4,4,2021-11-27,2024-06-04
parcel_unit_like,אשדוד,אשדוד|2061-78|48.3||4.0|דירה בבית קומות|1970.0,2,2,2013-05-02,2023-01-10
